taxon_id	organism	accession	length_bp	gc_content	num_features	is_outgroup
Cephalopachus_bancanus	Cephalopachus bancanus	NC_002811.1	16927	39.01	52	False
Rhinopithecus_strykeri	Rhinopithecus strykeri	NC_018059.1	16550	38.40	77	False
Papio_cynocephalus	Papio cynocephalus	NC_020007.2	16515	43.66	77	False
Macaca_nigra	Macaca nigra	NC_026120.1	16564	42.97	53	False
Pithecia_sp_MJ_2022	Pithecia sp. MJ-2022	OM328995.1	16650	39.46	53	False
Microcebus_danfossi	Microcebus danfossi	NC_035600.1	16809	36.51	77	False
Pithecia_hirsuta	Pithecia hirsuta	NC_064159.1	16650	39.52	77	False
Pygathrix_nemaeus	Pygathrix nemaeus	NC_008220.1	15467	38.69	52	False
Plecturocebus_bernhardi	Plecturocebus bernhardi	NC_064200.1	16558	39.23	77	False
Semnopithecus_entellus	Semnopithecus entellus	NC_008215.1	16532	39.03	53	False
Plecturocebus_miltoni	Plecturocebus miltoni	NC_064207.1	16555	39.48	77	False
Mico_sp_n_MJ_2022	Mico sp. n. MJ-2022	OM328939.1	16563	40.36	53	False
Saimiri_sciureus	Saimiri sciureus	NC_012775.1	16474	40.69	52	False
Phaner_pallescens	Phaner pallescens	NC_035608.1	16577	38.38	77	False
Saguinus_bicolor	Saguinus bicolor	NC_064176.1	16493	40.60	77	False
Nasalis_larvatus	Nasalis larvatus	NC_008216.1	16570	39.12	53	False
